stockid,stocklong,year,BvBmsy,FvFmsy,MSY,region,country
SNOWGROUPSATLC,Snowy grouper Southern Atlantic coast,2012,0.48951048951049,1.07237992031008,189.87376609999995,US Southeast and Gulf,USA
SNROCKPCOAST,Splitnose rockfish Pacific Coast,2008,1.86650485436893,0.0577889447236181,1267.9999999999993,US West Coast,USA
SOUTHHAKECR,Southern hake Chatham Rise,2009,1.24385595345571,0.0767647058823529,4143.999999999995,New Zealand,New Zealand
SOUTHHAKESA,Southern hake Sub-Antarctic,2014,1.43553293190142,0.22,4341,New Zealand,New Zealand
SOUTHHAKEWCSI,Southern hake West Coast South Island,2012,1.40263847670212,0.16,8076.999999999995,New Zealand,New Zealand
SPANMACKSATLC,Spanish mackerel Southern Atlantic coast,2011,1.48805878750765,0.550928925619835,2750.0000000000005,US Southeast and Gulf,USA
SPANMACKSETO,Japanese Spanish mackerel Inland Sea of Japan,2013,0.150834979349973,1.27581189658756,6926.257020999994,Japan,Japan
SPSDOGPCOAST,Spotted spiny dogfish Pacific Coast,2010,1.3512293478588,1.47169811320755,847.9999999999981,US West Coast,USA
SSANDWSJ,Sailfin sandfish Sea of Japan West,2013,1.86696900982615,0.298442975788514,6694.379999999996,Japan,Japan
SSARDCH,Southern sardine Central-Southern Chile,2020,1.298,0.83,17981.50000000001,South America,Chile
SSTHORNHPCOAST,Shortspine thornyhead Pacific Coast,2012,1.85756066714094,0.374,2033.9999999999977,US West Coast,USA
STFLOUNNPCOAST,Starry flounder Northern Pacific Coast,2004,1.23834196891192,0.117889773062187,818.0000000000032,US West Coast,USA
STFLOUNSPCOAST,Starry flounder Southern Pacific Coast,2004,1.5497474745518,0.0747058823623739,396.00000000000057,US West Coast,USA
STMARLINIO,Striped marlin Indian Ocean,2011,0.523,1.32887832711802,4218.000000000001,Indian Ocean,Indonesia
STMARLINNEPAC,Striped marlin Northeast Pacific,2009,1.52,0.0754,2595.999999999998,Pacific Ocean,USA
STMARLINSWPO,Striped marlin Western Pacific Ocean,2011,0.91,0.806148325861262,2080.9999999999995,Pacific Ocean,Japan
STMARLINWCNPAC,Striped marlin Western and Central North Pacific,2009,0.409162286295644,1.24432635142163,5657.000000000004,Pacific Ocean,Japan
SURFMATLC,Atlantic surfclam Mid-Atlantic Coast,2011,1.09053497942387,0.174039276087794,104196.12903225803,US East Coast,USA
SWHITSE,School whiting Southeast Australia,2016,1.96971091319127,0.536455970833066,2070.344825999999,Australia,Australia
SWORDEPAC,Swordfish Eastern Pacific,2012,1.88,1.06,54900.00000000007,Pacific Ocean,USA
SWORDIO,Swordfish Indian Ocean,2012,1.81,0.697,27100.000000000102,Indian Ocean,Indonesia
SWORDMED,Swordfish Mediterranean Sea,2008,0.96,0.954420623864705,14600.000000000007,Mediterranean-Black Sea,Italy
SWORDNATL,Swordfish Northern Atlantic,2012,1.14,0.886805013679955,13700.000000000038,Atlantic Ocean,Spain
SWORDNPAC,Swordfish North Pacific Ocean,2012,1.19,0.56,14920,Pacific Ocean,Japan
SWORDSATL,Swordfish South Atlantic,2012,0.977,0.756546538760694,14210.00000000001,Atlantic Ocean,Spain
TANNERCRABBSAI,Tanner crab Bering Sea and Aleutian Islands,2012,1.10153042179918,0,35957.71144278605,US Alaska,USA
TARAKNZ,Tarakihi Sub-Antarctic,2007,2.22,0.631535479769876,682.0000000000014,New Zealand,New Zealand
TIGERFLATSE,Tiger flathead Southeast Australia,2015,1.36751699066715,5.23789348577188,2854.0580879999893,Australia,Australia
TILEMATLC,Tilefish Mid-Atlantic Coast,2012,0.883691529709229,0.906451607055151,1029.0000000000005,US East Coast,USA
TILESATLC,Tilefish Southern Atlantic coast,2014,0.84819189201514,1.52542372881356,253.9886108000009,US Southeast and Gulf,USA
TREVALLYTRE7,Trevally New Zealand Areas TRE 7,2014,1.28698688392497,0.678,1817.999999999999,New Zealand,New Zealand
VSNAPGM,Vermilion snapper Gulf of Mexico,2014,1.15736040609137,2.32038834951456,1528.6063879999997,US Southeast and Gulf,USA
VSNAPSATLC,Vermilion snapper Southern Atlantic coast,2016,1.13114754098361,0.609756103509816,592.3004558000002,US Southeast and Gulf,USA
